name,current_path,ownership_type,owner_project,suggested_home,confidence,needs_manual_confirm,status,notes
FEISHU_CONFIGURATION_SUMMARY.md,C:\Users\Administrator\FEISHU_CONFIGURATION_SUMMARY.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_FEATURES_RESEARCH.md,C:\Users\Administrator\FEISHU_FEATURES_RESEARCH.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_FILES_LIST.md,C:\Users\Administrator\FEISHU_FILES_LIST.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_IMPLEMENTATION_PLAN.md,C:\Users\Administrator\FEISHU_IMPLEMENTATION_PLAN.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,88KB核心设计
FEISHU_INTEGRATION_ROADMAP.md,C:\Users\Administrator\FEISHU_INTEGRATION_ROADMAP.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_P0_FIXES.md,C:\Users\Administrator\FEISHU_P0_FIXES.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_P0_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_P0_REVIEW_FINAL.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PHASE0_PRETASKS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PHASE0_PRETASKS_STATUS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS_STATUS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CC.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CC_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC_ROUND2.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CODEX.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_FINAL.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_ROUND3_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND3_ANSWERS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_ROUND3_QUESTIONS.md,C:\Users\Administrator\FEISHU_ROUND3_QUESTIONS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_ROUND4_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND4_ANSWERS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_SIMPLE_REPORT.md,C:\Users\Administrator\FEISHU_SIMPLE_REPORT.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_USER_REQUIREMENTS_ROUND2.md,C:\Users\Administrator\FEISHU_USER_REQUIREMENTS_ROUND2.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
飞书配置完成报告.md,C:\Users\Administrator\飞书配置完成报告.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
temp-feishu-app-permissions.html,C:\Users\Administrator\temp-feishu-app-permissions.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-download.html,C:\Users\Administrator\temp-feishu-download.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-page-1.html,C:\Users\Administrator\temp-feishu-page-1.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-page-2.html,C:\Users\Administrator\temp-feishu-page-2.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-page-3.html,C:\Users\Administrator\temp-feishu-page-3.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-page-4.html,C:\Users\Administrator\temp-feishu-page-4.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-privacy.html,C:\Users\Administrator\temp-feishu-privacy.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-feishu-search-jsapi.html,C:\Users\Administrator\temp-feishu-search-jsapi.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
temp-lark-home.html,C:\Users\Administrator\temp-lark-home.html,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\captures\,high,no,已审计未执行,
video-automation-10-questions.md,C:\Users\Administrator\video-automation-10-questions.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
video-automation-round2-questions.md,C:\Users\Administrator\video-automation-round2-questions.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
video-automation-round2-questions-v2.md,C:\Users\Administrator\video-automation-round2-questions-v2.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
video-automation-round3-questions.md,C:\Users\Administrator\video-automation-round3-questions.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
video-automation-round4-questions.md,C:\Users\Administrator\video-automation-round4-questions.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
video-automation-round4-questions-v2.md,C:\Users\Administrator\video-automation-round4-questions-v2.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
video-tools-test-report.md,C:\Users\Administrator\video-tools-test-report.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
viral-video-replication-research.md,C:\Users\Administrator\viral-video-replication-research.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
ai-video-editing-research.md,C:\Users\Administrator\ai-video-editing-research.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
ai-video-editing-final-summary.md,C:\Users\Administrator\ai-video-editing-final-summary.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
ai-video-editing-solution.md,C:\Users\Administrator\ai-video-editing-solution.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
ai-models-for-video.md,C:\Users\Administrator\ai-models-for-video.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
ai-vs-manual-editing-layman-guide.md,C:\Users\Administrator\ai-vs-manual-editing-layman-guide.md,project-owned,video-automation,D:\AgentTeam-Workspace\bilibili-video-absorber\docs\research\,high,no,已审计未执行,
adobe-bridge-tools-guide.md,C:\Users\Administrator\adobe-bridge-tools-guide.md,project-unknown,video-automation?,候审,medium,yes,已审计未执行,可能属于视频后期
cc-codex-video-workflow.md,C:\Users\Administrator\cc-codex-video-workflow.md,project-unknown,video-automation?/codex?,候审,medium,yes,已审计未执行,交叉归属
cc-codex-video-workflows.md,C:\Users\Administrator\cc-codex-video-workflows.md,project-unknown,video-automation?/codex?,候审,medium,yes,已审计未执行,疑似与上一个重复
deep-automation-tech-routes.md,C:\Users\Administrator\deep-automation-tech-routes.md,project-unknown,video-automation?,候审,medium,yes,已审计未执行,名含automation但较泛
douyin-effects-guide.md,C:\Users\Administrator\douyin-effects-guide.md,project-unknown,video-automation?,候审,medium,yes,已审计未执行,名含douyin
jimeng-playwright-research.md,C:\Users\Administrator\jimeng-playwright-research.md,project-unknown,video-automation?,候审,medium,yes,已审计未执行,名含jimeng
local-tools-test-report.md,C:\Users\Administrator\local-tools-test-report.md,project-unknown,video-automation?,候审,medium,yes,已审计未执行,本地工具测试
jimeng_video_common_config.json,C:\Users\Administrator\jimeng_video_common_config.json,project-unknown,video-automation?,候审,low,yes,已审计未执行,名含config且含jimeng
temp-bing-h5support.html,C:\Users\Administrator\temp-bing-h5support.html,loose-research,none,D:\Archive\web-captures\,high,no,已审计未执行,
temp-bing.html,C:\Users\Administrator\temp-bing.html,loose-research,none,D:\Archive\web-captures\,high,no,已审计未执行,
adobe-davinci-automation-capabilities.json,C:\Users\Administrator\adobe-davinci-automation-capabilities.json,loose-research,none,D:\Archive\research-data-2026\,high,no,已审计未执行,泛工具扫描
ai-video-api-top30.json,C:\Users\Administrator\ai-video-api-top30.json,loose-research,none,D:\Archive\research-data-2026\,high,no,已审计未执行,泛API排名
video-editing-tools-scan.json,C:\Users\Administrator\video-editing-tools-scan.json,loose-research,none,D:\Archive\research-data-2026\,high,no,已审计未执行,泛工具扫描
video-editing-tools-scan.raw.json,C:\Users\Administrator\video-editing-tools-scan.raw.json,loose-research,none,D:\Archive\research-data-2026\,high,no,已审计未执行,6.5MB原始数据
video-plugins-scan.json,C:\Users\Administrator\video-plugins-scan.json,loose-research,none,D:\Archive\research-data-2026\,high,no,已审计未执行,泛插件扫描
ex-girlfriend-context.json,C:\Users\Administrator\ex-girlfriend-context.json,personal,none,需人工指定,high,yes,已审计未执行,
tmp-playwright-output.txt,C:\Users\Administrator\tmp-playwright-output.txt,temp-output,none,待删候选,high,no,已审计未执行,
_tmp_tool_names.txt,C:\Users\Administrator\_tmp_tool_names.txt,temp-output,none,待删候选,high,no,已审计未执行,
task-list.md,C:\Users\Administrator\task-list.md,project-unknown,none?,候审,low,yes,已审计未执行,旧会话残留
conversation-history.md,C:\Users\Administrator\conversation-history.md,project-unknown,none?,候审,low,yes,已审计未执行,旧会话记录
dashboard.md,C:\Users\Administrator\dashboard.md,project-unknown,none?,候审,low,yes,已审计未执行,用途不明
cc-windows-snapshot-2026-03-06.md,C:\Users\Administrator\cc-windows-snapshot-2026-03-06.md,project-unknown,none?,候审,low,yes,已审计未执行,
AGENTS.backup.2026-02-16.md,C:\Users\Administrator\AGENTS.backup.2026-02-16.md,project-unknown,none,C:\Users\Administrator\backups\,medium,yes,已审计未执行,配置备份
【ggs心委】_3月_信息反馈表.docx,C:\Users\Administrator\Desktop\【ggs心委】_3月_信息反馈表 .docx,personal,none,人工处理,high,yes,已审计未执行,
写代码必备.txt,C:\Users\Administrator\Desktop\写代码必备.txt,project-unknown,none?,候审,low,yes,已审计未执行,
微信图片_20260323201557_167_2554.jpg,C:\Users\Administrator\Desktop\微信图片_20260323201557_167_2554.jpg,personal,none,人工处理,medium,yes,已审计未执行,
ai-os-automation-flowchart.html,C:\Users\Administrator\Desktop\ai-os-automation-flowchart.html,project-unknown,none?,候审,low,yes,已审计未执行,
